ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
25371,25371,24624,1988,178,27,164,1,2,2,260,22,50,71,22,3276,3427,19,671,3844,3844,3844,50,58,72,467,50,55,22,237
10915,10915,10650,1273,117,23,108,1,2,2,286,22,50,74,22,1650,1678,19,344,1748,1748,1748,51,63,74,561,50,59,23,263
2870,2870,2843,1290,111,20,103,1,2,2,280,22,50,76,20,1422,1429,19,204,1470,1470,1470,50,60,76,550,50,58,22,262
962,962,961,819,55,16,51,1,2,2,249,22,50,70,17,873,874,15,5,889,889,889,50,59,71,419,50,56,22,234
86460,86460,82620,3062,184,25,173,1,2,2,294,22,50,76,23,5614,5834,19,817,6509,6505,6509,51,66,76,707,50,59,23,268
17,17,17,17,1,1,1,1,2,2,15,13,12,14,1,17,17,11,2,17,17,17,12,13,14,15,13,13,13,15
19959,19959,19403,11499,179,25,166,1,2,2,296,22,50,78,23,14760,15923,19,450,17609,17611,17611,52,69,77,793,50,58,24,270
31228,31228,30888,1373,172,25,163,1,2,2,275,22,50,76,24,2039,2059,19,532,2181,2181,2181,51,63,76,564,50,57,23,257
7,7,7,7,1,1,1,1,2,1,6,4,4,4,1,7,7,5,3,7,7,7,5,5,4,6,5,4,4,6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
6829,6829,6741,2847,136,21,130,1,2,2,280,23,50,77,22,3590,3626,19,137,3790,3790,3790,50,67,77,566,50,61,22,262
4,4,4,4,2,2,2,1,1,1,4,4,3,4,2,3,3,2,4,3,3,3,2,3,3,3,2,3,3,3
803,803,801,249,94,21,89,1,2,2,136,22,46,59,18,289,287,19,59,297,297,297,46,54,60,151,47,54,22,125
1025,1025,1017,218,74,21,67,1,2,2,144,22,48,66,19,270,267,19,56,275,275,275,47,51,67,159,49,53,22,139
382,382,380,255,83,19,77,1,2,2,116,22,45,60,20,303,307,19,14,310,310,310,46,48,62,151,46,47,22,112
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,65,66,65,1,1,1,1,2,2,57,18,30,33,1,65,65,19,4,65,65,65,30,26,33,59,28,25,18,58
56,48,51,48,1,1,1,1,2,2,39,14,26,28,1,48,48,18,3,48,48,48,26,23,28,46,24,23,14,40
11,7,8,7,1,1,1,1,2,1,7,6,5,6,1,7,7,6,2,7,7,7,6,5,7,7,6,6,6,7
74118,74115,72590,4227,267,28,248,1,2,2,295,22,50,77,25,7088,7334,19,751,8409,8409,8409,51,67,77,741,50,61,23,271
